state,district,month,monthly_total_load,district_3M_forecast,demand_total_x,mom_growth_x,demand_total_y,mom_growth_y,spike_flag,prev_load,mom_growth,mom_growth_capped,load_category,demand_trend,recommended_action,action_priority,high_risk,risk_reason,alert_message
Telangana,Adilabad,2025-01-01,136,,408.0,0.1590909090909091,408.0,,NORMAL,68.0,100.0,100.0,Medium,Increasing,Monitor closely and prepare standby staff,Moderate,True,100.0% increase in demand and low center capacity and continuously rising demand trend,District Adilabad likely to face backlog in 2025-01-01 due to 100.0% increase in demand and low center capacity and continuously rising demand trend.
Telangana,Adilabad,2025-02-01,217,,408.0,0.1590909090909091,676.0,0.6568627450980393,HIGH_SPIKE,121.0,79.34,79.34,Medium,Increasing,Monitor closely and prepare standby staff,Moderate,True,79.34% increase in demand and low center capacity and continuously rising demand trend,District Adilabad likely to face backlog in 2025-02-01 due to 79.34% increase in demand and low center capacity and continuously rising demand trend.
Telangana,Adilabad,2025-03-01,136,163.0,408.0,0.1590909090909091,436.0,-0.3550295857988166,NORMAL,82.0,65.85,65.85,Medium,Increasing,Monitor closely and prepare standby staff,Moderate,True,65.85% increase in demand and low center capacity and continuously rising demand trend,District Adilabad likely to face backlog in 2025-03-01 due to 65.85% increase in demand and low center capacity and continuously rising demand trend.
Telangana,Adilabad,2025-04-01,97,150.0,408.0,0.1590909090909091,284.0,-0.3486238532110092,NORMAL,45.0,115.56,115.56,Low,Increasing,No immediate action required,Low,True,115.56% increase in demand and low center capacity and continuously rising demand trend,District Adilabad likely to face backlog in 2025-04-01 due to 115.56% increase in demand and low center capacity and continuously rising demand trend.
Telangana,Adilabad,2025-05-01,73,102.0,408.0,0.1590909090909091,236.0,-0.1690140845070422,NORMAL,45.0,62.22,62.22,Low,Increasing,No immediate action required,Low,True,62.22% increase in demand and low center capacity and continuously rising demand trend,District Adilabad likely to face backlog in 2025-05-01 due to 62.22% increase in demand and low center capacity and continuously rising demand trend.
Telangana,Adilabad,2025-06-01,89,86.33333333333333,408.0,0.1590909090909091,294.0,0.2457627118644068,HIGH_SPIKE,58.0,53.45,53.45,Low,Increasing,No immediate action required,Low,True,53.45% increase in demand and low center capacity and continuously rising demand trend,District Adilabad likely to face backlog in 2025-06-01 due to 53.45% increase in demand and low center capacity and continuously rising demand trend.
Telangana,Adilabad,2025-07-01,59,73.66666666666667,408.0,0.1590909090909091,164.0,-0.4421768707482993,NORMAL,23.0,156.52,156.52,Low,Increasing,No immediate action required,Low,True,156.52% increase in demand and low center capacity and continuously rising demand trend,District Adilabad likely to face backlog in 2025-07-01 due to 156.52% increase in demand and low center capacity and continuously rising demand trend.
Andhra Pradesh,Adilabad,2025-08-01,94,58.333333333333336,408.0,0.1590909090909091,506.0,2.0853658536585367,HIGH_SPIKE,59.0,59.32,59.32,Low,Increasing,No immediate action required,Low,True,59.32% increase in demand and low center capacity and continuously rising demand trend,District Adilabad likely to face backlog in 2025-08-01 due to 59.32% increase in demand and low center capacity and continuously rising demand trend.
Telangana,Adilabad,2025-08-01,159,102.33333333333331,408.0,0.1590909090909091,506.0,2.0853658536585367,HIGH_SPIKE,94.0,69.15,69.15,Medium,Increasing,Monitor closely and prepare standby staff,Moderate,True,69.15% increase in demand and low center capacity and continuously rising demand trend,District Adilabad likely to face backlog in 2025-08-01 due to 69.15% increase in demand and low center capacity and continuously rising demand trend.
Telangana,Adilabad,2025-09-01,130,116.0,408.0,0.1590909090909091,374.0,-0.2608695652173913,NORMAL,57.0,128.07,128.07,Medium,Increasing,Monitor closely and prepare standby staff,Moderate,True,128.07% increase in demand and low center capacity and continuously rising demand trend,District Adilabad likely to face backlog in 2025-09-01 due to 128.07% increase in demand and low center capacity and continuously rising demand trend.
Telangana,Adilabad,2025-10-01,162,150.33333333333334,408.0,0.1590909090909091,476.0,0.2727272727272727,HIGH_SPIKE,76.0,113.16,113.16,Medium,Increasing,Monitor closely and prepare standby staff,Moderate,True,113.16% increase in demand and low center capacity and continuously rising demand trend,District Adilabad likely to face backlog in 2025-10-01 due to 113.16% increase in demand and low center capacity and continuously rising demand trend.
Telangana,Adilabad,2025-11-01,121,137.66666666666666,408.0,0.1590909090909091,352.0,-0.2605042016806722,NORMAL,55.0,120.0,120.0,Medium,Increasing,Monitor closely and prepare standby staff,Moderate,True,120.0% increase in demand and low center capacity and continuously rising demand trend,District Adilabad likely to face backlog in 2025-11-01 due to 120.0% increase in demand and low center capacity and continuously rising demand trend.
Telangana,Adilabad,2025-12-01,147,143.33333333333334,408.0,0.1590909090909091,408.0,0.1590909090909091,HIGH_SPIKE,57.0,157.89,157.89,Medium,Increasing,Monitor closely and prepare standby staff,Moderate,True,157.89% increase in demand and low center capacity and continuously rising demand trend,District Adilabad likely to face backlog in 2025-12-01 due to 157.89% increase in demand and low center capacity and continuously rising demand trend.
Madhya Pradesh,Agar Malwa,2025-05-01,81,59.0,86.0,-0.0652173913043477,81.0,0.8837209302325582,HIGH_SPIKE,43.0,88.37,88.37,Low,Increasing,No immediate action required,Low,True,88.37% increase in demand and low center capacity and continuously rising demand trend,District Agar Malwa likely to face backlog in 2025-05-01 due to 88.37% increase in demand and low center capacity and continuously rising demand trend.
Uttar Pradesh,Agra,2025-05-01,536,470.6666666666667,705.0,0.1595394736842106,536.0,0.2946859903381642,HIGH_SPIKE,414.0,29.47,29.47,High,Increasing,"Add staff, deploy mobile enrolment units, extend working hours",Urgent,True,29.47% increase in demand and low center capacity and continuously rising demand trend,District Agra likely to face backlog in 2025-05-01 due to 29.47% increase in demand and low center capacity and continuously rising demand trend.
