year_month,district,demand_total,monthly_capacity,request_capacity_ratio,delay_index,load_category
2025-02,100000,4,0.0,inf,HIGH,normal
2025-03,100000,1,0.0,inf,HIGH,exam
2025-08,100000,1,0.0,inf,HIGH,normal
2025-09,100000,1,0.0,inf,HIGH,normal
2025-11,100000,3,0.0,inf,HIGH,festival
2025-12,100000,3,0.0,inf,HIGH,normal
2025-01,24 Paraganas North,8298,,,HIGH,scheme
2025-01,24 Paraganas South,662,,,HIGH,scheme
2025-04,ANUGUL,1,0.0,inf,HIGH,exam
2025-05,ANUGUL,1,0.0,inf,HIGH,normal
2025-01,Adilabad,68,47840.0,0.0014214046822742,LOW,scheme
2025-01,Adilabad,68,76960.0,0.0008835758835758,LOW,scheme
2025-01,Adilabad,136,47840.0,0.0028428093645484,LOW,scheme
2025-01,Adilabad,136,76960.0,0.0017671517671517,LOW,scheme
2025-02,Adilabad,121,47840.0,0.0025292642140468,LOW,normal
2025-02,Adilabad,121,76960.0,0.0015722453222453,LOW,normal
2025-02,Adilabad,217,47840.0,0.0045359531772575,LOW,normal
2025-02,Adilabad,217,76960.0,0.0028196465696465,LOW,normal
2025-03,Adilabad,82,47840.0,0.0017140468227424,LOW,exam
2025-03,Adilabad,82,76960.0,0.0010654885654885,LOW,exam
2025-03,Adilabad,136,47840.0,0.0028428093645484,LOW,exam
2025-03,Adilabad,136,76960.0,0.0017671517671517,LOW,exam
2025-04,Adilabad,45,47840.0,0.000940635451505,LOW,exam
2025-04,Adilabad,45,76960.0,0.0005847193347193,LOW,exam
2025-04,Adilabad,97,47840.0,0.0020275919732441,LOW,exam
2025-04,Adilabad,97,76960.0,0.001260395010395,LOW,exam
2025-05,Adilabad,45,47840.0,0.000940635451505,LOW,normal
2025-05,Adilabad,45,76960.0,0.0005847193347193,LOW,normal
2025-05,Adilabad,73,47840.0,0.0015259197324414,LOW,normal
2025-05,Adilabad,73,76960.0,0.0009485446985446,LOW,normal
2025-06,Adilabad,58,47840.0,0.0012123745819397,LOW,normal
2025-06,Adilabad,58,76960.0,0.0007536382536382,LOW,normal
2025-06,Adilabad,89,47840.0,0.0018603678929765,LOW,normal
2025-06,Adilabad,89,76960.0,0.0011564449064449,LOW,normal
2025-07,Adilabad,23,47840.0,0.0004807692307692,LOW,normal
2025-07,Adilabad,23,76960.0,0.0002988565488565,LOW,normal
2025-07,Adilabad,59,47840.0,0.0012332775919732,LOW,normal
2025-07,Adilabad,59,76960.0,0.000766632016632,LOW,normal
2025-08,Adilabad,94,47840.0,0.0019648829431438,LOW,normal
2025-08,Adilabad,94,76960.0,0.0012214137214137,LOW,normal
2025-08,Adilabad,159,47840.0,0.0033235785953177,LOW,normal
2025-08,Adilabad,159,76960.0,0.0020660083160083,LOW,normal
2025-09,Adilabad,57,47840.0,0.0011914715719063,LOW,normal
2025-09,Adilabad,57,76960.0,0.0007406444906444,LOW,normal
2025-09,Adilabad,130,47840.0,0.0027173913043478,LOW,normal
2025-09,Adilabad,130,76960.0,0.0016891891891891,LOW,normal
2025-10,Adilabad,76,47840.0,0.0015886287625418,LOW,festival
2025-10,Adilabad,76,76960.0,0.0009875259875259,LOW,festival
2025-10,Adilabad,162,47840.0,0.003386287625418,LOW,festival
2025-10,Adilabad,162,76960.0,0.0021049896049896,LOW,festival
2025-11,Adilabad,55,47840.0,0.0011496655518394,LOW,festival
