district,year_month,demand_enrolments,demand_updates,demand_total
100000,2025-02,3,1,4
100000,2025-03,1,0,1
100000,2025-08,1,0,1
100000,2025-09,1,0,1
100000,2025-11,2,1,3
100000,2025-12,2,1,3
24 Paraganas North,2025-01,6147,2151,8298
24 Paraganas South,2025-01,490,172,662
ANUGUL,2025-04,1,0,1
ANUGUL,2025-05,1,0,1
Adilabad,2025-01,302,106,408
Adilabad,2025-02,502,174,676
Adilabad,2025-03,324,112,436
Adilabad,2025-04,210,74,284
Adilabad,2025-05,174,62,236
Adilabad,2025-06,218,76,294
Adilabad,2025-07,122,42,164
Adilabad,2025-08,376,130,506
Adilabad,2025-09,276,98,374
Adilabad,2025-10,352,124,476
Adilabad,2025-11,262,90,352
Adilabad,2025-12,302,106,408
Agar Malwa,2025-01,38,13,51
Agar Malwa,2025-02,128,45,173
Agar Malwa,2025-03,39,14,53
Agar Malwa,2025-04,32,11,43
Agar Malwa,2025-05,60,21,81
Agar Malwa,2025-06,58,20,78
Agar Malwa,2025-07,35,12,47
Agar Malwa,2025-08,90,31,121
Agar Malwa,2025-09,106,37,143
Agar Malwa,2025-10,107,37,144
Agar Malwa,2025-11,68,24,92
Agar Malwa,2025-12,64,22,86
Agra,2025-01,12784,4474,17258
Agra,2025-02,711,249,960
Agra,2025-03,342,120,462
Agra,2025-04,307,107,414
Agra,2025-05,397,139,536
Agra,2025-06,441,154,595
Agra,2025-07,251,88,339
Agra,2025-08,507,177,684
Agra,2025-09,533,187,720
Agra,2025-10,704,246,950
Agra,2025-11,450,158,608
Agra,2025-12,522,183,705
Ahmadabad,2025-01,5733,2007,7740
Ahmadabad,2025-02,35,12,47
Ahmadabad,2025-03,21,7,28
Ahmadabad,2025-04,18,6,24
Ahmadabad,2025-05,17,6,23
Ahmadabad,2025-06,23,8,31
Ahmadabad,2025-07,9,3,12
Ahmadabad,2025-08,49,17,66
Ahmadabad,2025-09,33,12,45
Ahmadabad,2025-10,33,12,45
Ahmadabad,2025-11,34,12,46
Ahmadabad,2025-12,37,13,50
Ahmadnagar,2025-01,293,103,396
Ahmadnagar,2025-02,509,178,687
Ahmadnagar,2025-03,277,97,374
Ahmadnagar,2025-04,206,72,278
Ahmadnagar,2025-05,147,51,198
Ahmadnagar,2025-06,160,56,216
Ahmadnagar,2025-07,121,42,163
Ahmadnagar,2025-08,342,120,462
Ahmadnagar,2025-09,414,145,559
Ahmadnagar,2025-10,313,110,423
Ahmadnagar,2025-11,304,106,410
Ahmadnagar,2025-12,274,96,370
Ahmed Nagar,2025-01,5,2,7
Ahmed Nagar,2025-02,15,5,20
Ahmed Nagar,2025-03,14,5,19
Ahmed Nagar,2025-04,3,1,4
Ahmed Nagar,2025-05,8,3,11
Ahmed Nagar,2025-06,6,2,8
Ahmed Nagar,2025-07,5,2,7
Ahmed Nagar,2025-08,7,2,9
Ahmed Nagar,2025-09,8,3,11
Ahmed Nagar,2025-10,5,2,7
Ahmed Nagar,2025-11,5,2,7
Ahmed Nagar,2025-12,7,2,9
Ahmedabad,2025-01,2558,895,3453
Ahmedabad,2025-02,720,252,972
Ahmedabad,2025-03,430,150,580
Ahmedabad,2025-04,292,102,394
Ahmedabad,2025-05,277,97,374
Ahmedabad,2025-06,362,127,489
Ahmedabad,2025-07,171,60,231
Ahmedabad,2025-08,660,231,891
Ahmedabad,2025-09,613,215,828
Ahmedabad,2025-10,568,199,767
Ahmedabad,2025-11,586,205,791
Ahmedabad,2025-12,583,204,787
Ahmednagar,2025-01,368,129,497
Aizawl,2025-01,20,7,27
Aizawl,2025-02,44,15,59
Aizawl,2025-03,24,8,32
Aizawl,2025-04,17,6,23
Aizawl,2025-05,32,11,43
Aizawl,2025-06,22,8,30
Aizawl,2025-07,9,3,12
Aizawl,2025-08,26,9,35
Aizawl,2025-09,47,16,63
Aizawl,2025-10,38,13,51
Aizawl,2025-11,16,6,22
Aizawl,2025-12,32,11,43
Ajmer,2025-01,2325,814,3139
Ajmer,2025-02,387,135,522
Ajmer,2025-03,236,83,319
Ajmer,2025-04,129,45,174
Ajmer,2025-05,231,81,312
Ajmer,2025-06,230,80,310
Ajmer,2025-07,152,53,205
Ajmer,2025-08,303,106,409
Ajmer,2025-09,356,125,481
Ajmer,2025-10,469,164,633
Ajmer,2025-11,305,107,412
Ajmer,2025-12,392,137,529
Akola,2025-01,695,243,938
