year_month,district,bio_age_5_17,bio_age_17_plus,bio_total
2025-03,ANUGUL,10,46,56
2025-03,Adilabad,4096,8776,12872
2025-03,Agar Malwa,619,1070,1689
2025-03,Agra,15175,9350,24525
2025-03,Ahmadabad,41,733,774
2025-03,Ahmadnagar,8342,22641,30983
2025-03,Ahmed Nagar,15,170,185
2025-03,Ahmedabad,19111,29284,48395
2025-03,Aizawl,12080,3703,15783
2025-03,Ajmer,6104,7466,13570
2025-03,Akola,5799,19830,25629
2025-03,Alappuzha,3226,6251,9477
2025-03,Aligarh,17052,5512,22564
2025-03,Alipurduar,390,584,974
2025-03,Alirajpur,1527,3407,4934
2025-03,Allahabad,16248,7838,24086
2025-03,Alluri Sitharama Raju,585,1408,1993
2025-03,Almora,1410,1627,3037
2025-03,Alwar,10532,13227,23759
2025-03,Ambala,2853,6773,9626
2025-03,Ambedkar Nagar,4518,4307,8825
2025-03,Amethi,6068,4560,10628
2025-03,Amravati,9464,30849,40313
2025-03,Amreli,3463,3849,7312
2025-03,Amritsar,7560,16513,24073
2025-03,Amroha,6576,2622,9198
2025-03,Anakapalli,218,234,452
2025-03,Anand,5698,8373,14071
2025-03,Anantapur,3363,6499,9862
2025-03,Ananthapur,11722,2215,13937
2025-03,Ananthapuramu,14063,2087,16150
2025-03,Anantnag,2053,3228,5281
2025-03,Andamans,16,193,209
2025-03,Angul,2731,4882,7613
2025-03,Anjaw,55,79,134
2025-03,Annamayya,235,270,505
2025-03,Anugul,39,106,145
2025-03,Anuppur,2298,5334,7632
2025-03,Araria,13043,13990,27033
2025-03,Ariyalur,6118,9085,15203
2025-03,Arvalli,1595,1109,2704
2025-03,Arwal,1438,3294,4732
2025-03,Ashok Nagar,4292,4547,8839
2025-03,Auraiya,5596,2005,7601
2025-03,Aurangabad,17887,29363,47250
2025-03,Ayodhya,201,225,426
2025-03,Azamgarh,9520,8706,18226
2025-03,Badgam,439,1593,2032
2025-03,Bagalkot,5662,4800,10462
2025-03,Bagalkot *,51,124,175
2025-03,Bageshwar,651,1871,2522
