state,district,month,monthly_total_load,district_3M_forecast
100000,100000,2025-02-01,4,
100000,100000,2025-03-01,1,
100000,100000,2025-08-01,1,2.0
100000,100000,2025-09-01,1,1.0
100000,100000,2025-11-01,3,1.6666666666666667
100000,100000,2025-12-01,3,2.3333333333333335
Andaman & Nicobar Islands,Andamans,2025-01-01,4,
Andaman & Nicobar Islands,Andamans,2025-02-01,1,
Andaman & Nicobar Islands,Andamans,2025-04-01,4,3.0
Andaman & Nicobar Islands,Andamans,2025-09-01,5,3.3333333333333335
Andaman & Nicobar Islands,Andamans,2025-11-01,4,4.333333333333333
Andaman & Nicobar Islands,Andamans,2025-12-01,1,3.3333333333333335
Andaman & Nicobar Islands,Nicobars,2025-03-01,1,
Andaman & Nicobar Islands,South Andaman,2025-01-01,4,
Andaman & Nicobar Islands,South Andaman,2025-03-01,3,
Andaman & Nicobar Islands,South Andaman,2025-04-01,3,3.3333333333333335
Andaman & Nicobar Islands,South Andaman,2025-05-01,3,3.0
Andaman & Nicobar Islands,South Andaman,2025-08-01,1,2.3333333333333335
Andaman & Nicobar Islands,South Andaman,2025-11-01,4,2.6666666666666665
Andaman & Nicobar Islands,South Andaman,2025-12-01,1,2.0
Andaman and Nicobar Islands,Nicobar,2025-01-01,16,
Andaman and Nicobar Islands,Nicobar,2025-02-01,7,
Andaman and Nicobar Islands,Nicobar,2025-03-01,3,8.666666666666666
Andaman and Nicobar Islands,Nicobar,2025-04-01,5,5.0
Andaman and Nicobar Islands,Nicobar,2025-08-01,3,3.6666666666666665
Andaman and Nicobar Islands,Nicobar,2025-09-01,3,3.6666666666666665
Andaman and Nicobar Islands,Nicobar,2025-10-01,9,5.0
Andaman and Nicobar Islands,Nicobar,2025-11-01,3,5.0
Andaman and Nicobar Islands,Nicobar,2025-12-01,3,5.0
Andaman and Nicobar Islands,North And Middle Andaman,2025-01-01,5,
Andaman and Nicobar Islands,North And Middle Andaman,2025-02-01,5,
Andaman and Nicobar Islands,North And Middle Andaman,2025-03-01,8,6.0
Andaman and Nicobar Islands,North And Middle Andaman,2025-04-01,4,5.666666666666667
Andaman and Nicobar Islands,North And Middle Andaman,2025-05-01,1,4.333333333333333
Andaman and Nicobar Islands,North And Middle Andaman,2025-06-01,4,3.0
Andaman and Nicobar Islands,North And Middle Andaman,2025-07-01,1,2.0
Andaman and Nicobar Islands,North And Middle Andaman,2025-08-01,7,4.0
Andaman and Nicobar Islands,North And Middle Andaman,2025-09-01,11,6.333333333333333
Andaman and Nicobar Islands,North And Middle Andaman,2025-10-01,8,8.666666666666666
Andaman and Nicobar Islands,North And Middle Andaman,2025-11-01,7,8.666666666666666
Andaman and Nicobar Islands,North And Middle Andaman,2025-12-01,4,6.333333333333333
Andaman and Nicobar Islands,South Andaman,2025-01-01,11,
Andaman and Nicobar Islands,South Andaman,2025-02-01,3,
Andaman and Nicobar Islands,South Andaman,2025-03-01,5,6.333333333333333
Andaman and Nicobar Islands,South Andaman,2025-04-01,7,5.0
Andaman and Nicobar Islands,South Andaman,2025-05-01,8,6.666666666666667
Andaman and Nicobar Islands,South Andaman,2025-07-01,4,6.333333333333333
Andaman and Nicobar Islands,South Andaman,2025-08-01,16,9.333333333333334
Andaman and Nicobar Islands,South Andaman,2025-09-01,4,8.0
Andaman and Nicobar Islands,South Andaman,2025-10-01,7,9.0
Andaman and Nicobar Islands,South Andaman,2025-11-01,7,6.0
Andaman and Nicobar Islands,South Andaman,2025-12-01,4,6.0
Andhra Pradesh,Adilabad,2025-01-01,68,
Andhra Pradesh,Adilabad,2025-02-01,121,
Andhra Pradesh,Adilabad,2025-03-01,82,90.33333333333333
Andhra Pradesh,Adilabad,2025-04-01,45,82.66666666666667
Andhra Pradesh,Adilabad,2025-05-01,45,57.333333333333336
Andhra Pradesh,Adilabad,2025-06-01,58,49.333333333333336
Andhra Pradesh,Adilabad,2025-07-01,23,42.0
Andhra Pradesh,Adilabad,2025-08-01,94,58.333333333333336
Andhra Pradesh,Adilabad,2025-09-01,57,58.0
Andhra Pradesh,Adilabad,2025-10-01,76,75.66666666666667
Andhra Pradesh,Adilabad,2025-11-01,55,62.666666666666664
Andhra Pradesh,Adilabad,2025-12-01,57,62.666666666666664
Andhra Pradesh,Alluri Sitharama Raju,2025-01-01,20,
Andhra Pradesh,Alluri Sitharama Raju,2025-02-01,43,
Andhra Pradesh,Alluri Sitharama Raju,2025-03-01,40,34.333333333333336
Andhra Pradesh,Alluri Sitharama Raju,2025-04-01,15,32.666666666666664
Andhra Pradesh,Alluri Sitharama Raju,2025-05-01,63,39.333333333333336
Andhra Pradesh,Alluri Sitharama Raju,2025-06-01,38,38.666666666666664
Andhra Pradesh,Alluri Sitharama Raju,2025-07-01,39,46.666666666666664
Andhra Pradesh,Alluri Sitharama Raju,2025-08-01,43,40.0
Andhra Pradesh,Alluri Sitharama Raju,2025-09-01,35,39.0
Andhra Pradesh,Alluri Sitharama Raju,2025-10-01,50,42.666666666666664
Andhra Pradesh,Alluri Sitharama Raju,2025-11-01,46,43.666666666666664
Andhra Pradesh,Alluri Sitharama Raju,2025-12-01,50,48.666666666666664
Andhra Pradesh,Anakapalli,2025-01-01,18,
