year_month,district,demand_enrolments,demand_updates,demand_total,bio_age_5_17,bio_age_17_plus,bio_total,monthly_capacity,request_capacity_ratio,delay_index,load_category
2025-02,100000,3,1,4,,,,0.0,inf,HIGH,normal
2025-03,100000,1,0,1,,,,0.0,inf,HIGH,exam
2025-08,100000,1,0,1,,,,0.0,inf,HIGH,normal
2025-09,100000,1,0,1,,,,0.0,inf,HIGH,normal
2025-11,100000,2,1,3,,,,0.0,inf,HIGH,festival
2025-12,100000,2,1,3,,,,0.0,inf,HIGH,normal
2025-01,24 Paraganas North,6147,2151,8298,,,,,,HIGH,scheme
2025-01,24 Paraganas South,490,172,662,,,,,,HIGH,scheme
2025-04,ANUGUL,1,0,1,18.0,41.0,59.0,0.0,inf,HIGH,exam
2025-05,ANUGUL,1,0,1,18.0,14.0,32.0,0.0,inf,HIGH,normal
2025-01,Adilabad,50,18,68,,,,47840.0,0.0014214046822742,LOW,scheme
2025-01,Adilabad,50,18,68,,,,76960.0,0.0008835758835758,LOW,scheme
2025-01,Adilabad,101,35,136,,,,47840.0,0.0028428093645484,LOW,scheme
2025-01,Adilabad,101,35,136,,,,76960.0,0.0017671517671517,LOW,scheme
2025-02,Adilabad,90,31,121,,,,47840.0,0.0025292642140468,LOW,normal
2025-02,Adilabad,90,31,121,,,,76960.0,0.0015722453222453,LOW,normal
2025-02,Adilabad,161,56,217,,,,47840.0,0.0045359531772575,LOW,normal
2025-02,Adilabad,161,56,217,,,,76960.0,0.0028196465696465,LOW,normal
2025-03,Adilabad,61,21,82,4096.0,8776.0,12872.0,47840.0,0.0017140468227424,LOW,exam
2025-03,Adilabad,61,21,82,4096.0,8776.0,12872.0,76960.0,0.0010654885654885,LOW,exam
2025-03,Adilabad,101,35,136,4096.0,8776.0,12872.0,47840.0,0.0028428093645484,LOW,exam
2025-03,Adilabad,101,35,136,4096.0,8776.0,12872.0,76960.0,0.0017671517671517,LOW,exam
2025-04,Adilabad,33,12,45,3265.0,6068.0,9333.0,47840.0,0.000940635451505,LOW,exam
2025-04,Adilabad,33,12,45,3265.0,6068.0,9333.0,76960.0,0.0005847193347193,LOW,exam
2025-04,Adilabad,72,25,97,3265.0,6068.0,9333.0,47840.0,0.0020275919732441,LOW,exam
2025-04,Adilabad,72,25,97,3265.0,6068.0,9333.0,76960.0,0.001260395010395,LOW,exam
2025-05,Adilabad,33,12,45,5327.0,5085.0,10412.0,47840.0,0.000940635451505,LOW,normal
2025-05,Adilabad,33,12,45,5327.0,5085.0,10412.0,76960.0,0.0005847193347193,LOW,normal
2025-05,Adilabad,54,19,73,5327.0,5085.0,10412.0,47840.0,0.0015259197324414,LOW,normal
2025-05,Adilabad,54,19,73,5327.0,5085.0,10412.0,76960.0,0.0009485446985446,LOW,normal
2025-06,Adilabad,43,15,58,7712.0,7022.0,14734.0,47840.0,0.0012123745819397,LOW,normal
2025-06,Adilabad,43,15,58,7712.0,7022.0,14734.0,76960.0,0.0007536382536382,LOW,normal
2025-06,Adilabad,66,23,89,7712.0,7022.0,14734.0,47840.0,0.0018603678929765,LOW,normal
2025-06,Adilabad,66,23,89,7712.0,7022.0,14734.0,76960.0,0.0011564449064449,LOW,normal
2025-07,Adilabad,17,6,23,5876.0,11150.0,17026.0,47840.0,0.0004807692307692,LOW,normal
2025-07,Adilabad,17,6,23,5876.0,11150.0,17026.0,76960.0,0.0002988565488565,LOW,normal
2025-07,Adilabad,44,15,59,5876.0,11150.0,17026.0,47840.0,0.0012332775919732,LOW,normal
2025-07,Adilabad,44,15,59,5876.0,11150.0,17026.0,76960.0,0.000766632016632,LOW,normal
2025-08,Adilabad,70,24,94,,,,47840.0,0.0019648829431438,LOW,normal
2025-08,Adilabad,70,24,94,,,,76960.0,0.0012214137214137,LOW,normal
2025-08,Adilabad,118,41,159,,,,47840.0,0.0033235785953177,LOW,normal
2025-08,Adilabad,118,41,159,,,,76960.0,0.0020660083160083,LOW,normal
2025-09,Adilabad,42,15,57,4943.0,10719.0,15662.0,47840.0,0.0011914715719063,LOW,normal
2025-09,Adilabad,42,15,57,4943.0,10719.0,15662.0,76960.0,0.0007406444906444,LOW,normal
2025-09,Adilabad,96,34,130,4943.0,10719.0,15662.0,47840.0,0.0027173913043478,LOW,normal
2025-09,Adilabad,96,34,130,4943.0,10719.0,15662.0,76960.0,0.0016891891891891,LOW,normal
2025-10,Adilabad,56,20,76,9074.0,9697.0,18771.0,47840.0,0.0015886287625418,LOW,festival
2025-10,Adilabad,56,20,76,9074.0,9697.0,18771.0,76960.0,0.0009875259875259,LOW,festival
