district,year_month,demand_total,mom_growth
100000,2025-02,4,
100000,2025-03,1,-0.75
100000,2025-08,1,0.0
100000,2025-09,1,0.0
100000,2025-11,3,2.0
100000,2025-12,3,0.0
24 Paraganas North,2025-01,8298,
24 Paraganas South,2025-01,662,
ANUGUL,2025-04,1,
ANUGUL,2025-05,1,0.0
Adilabad,2025-01,408,
Adilabad,2025-02,676,0.6568627450980393
Adilabad,2025-03,436,-0.3550295857988166
Adilabad,2025-04,284,-0.3486238532110092
Adilabad,2025-05,236,-0.16901408450704225
Adilabad,2025-06,294,0.2457627118644068
Adilabad,2025-07,164,-0.44217687074829937
Adilabad,2025-08,506,2.0853658536585367
Adilabad,2025-09,374,-0.26086956521739135
Adilabad,2025-10,476,0.2727272727272727
Adilabad,2025-11,352,-0.26050420168067223
Adilabad,2025-12,408,0.15909090909090917
Agar Malwa,2025-01,51,
Agar Malwa,2025-02,173,2.392156862745098
Agar Malwa,2025-03,53,-0.6936416184971098
Agar Malwa,2025-04,43,-0.18867924528301883
Agar Malwa,2025-05,81,0.8837209302325582
Agar Malwa,2025-06,78,-0.03703703703703709
Agar Malwa,2025-07,47,-0.39743589743589747
Agar Malwa,2025-08,121,1.5744680851063828
Agar Malwa,2025-09,143,0.18181818181818188
Agar Malwa,2025-10,144,0.006993006993007089
Agar Malwa,2025-11,92,-0.36111111111111116
Agar Malwa,2025-12,86,-0.06521739130434778
Agra,2025-01,17258,
Agra,2025-02,960,-0.9443736238266311
Agra,2025-03,462,-0.51875
Agra,2025-04,414,-0.10389610389610393
Agra,2025-05,536,0.2946859903381642
Agra,2025-06,595,0.1100746268656716
Agra,2025-07,339,-0.43025210084033616
Agra,2025-08,684,1.0176991150442478
Agra,2025-09,720,0.05263157894736836
Agra,2025-10,950,0.3194444444444444
Agra,2025-11,608,-0.36
Agra,2025-12,705,0.15953947368421062
Ahmadabad,2025-01,7740,
Ahmadabad,2025-02,47,-0.9939276485788113
Ahmadabad,2025-03,28,-0.4042553191489362
Ahmadabad,2025-04,24,-0.1428571428571429
Ahmadabad,2025-05,23,-0.04166666666666663
Ahmadabad,2025-06,31,0.34782608695652173
Ahmadabad,2025-07,12,-0.6129032258064516
Ahmadabad,2025-08,66,4.5
Ahmadabad,2025-09,45,-0.31818181818181823
Ahmadabad,2025-10,45,0.0
Ahmadabad,2025-11,46,0.022222222222222143
Ahmadabad,2025-12,50,0.08695652173913038
Ahmadnagar,2025-01,396,
Ahmadnagar,2025-02,687,0.7348484848484849
Ahmadnagar,2025-03,374,-0.4556040756914119
Ahmadnagar,2025-04,278,-0.25668449197860965
Ahmadnagar,2025-05,198,-0.28776978417266186
Ahmadnagar,2025-06,216,0.09090909090909083
Ahmadnagar,2025-07,163,-0.24537037037037035
Ahmadnagar,2025-08,462,1.834355828220859
Ahmadnagar,2025-09,559,0.2099567099567099
Ahmadnagar,2025-10,423,-0.24329159212880147
Ahmadnagar,2025-11,410,-0.030732860520094607
Ahmadnagar,2025-12,370,-0.09756097560975607
Ahmed Nagar,2025-01,7,
Ahmed Nagar,2025-02,20,1.8571428571428572
Ahmed Nagar,2025-03,19,-0.050000000000000044
Ahmed Nagar,2025-04,4,-0.7894736842105263
Ahmed Nagar,2025-05,11,1.75
Ahmed Nagar,2025-06,8,-0.2727272727272727
Ahmed Nagar,2025-07,7,-0.125
Ahmed Nagar,2025-08,9,0.2857142857142858
Ahmed Nagar,2025-09,11,0.22222222222222232
Ahmed Nagar,2025-10,7,-0.36363636363636365
Ahmed Nagar,2025-11,7,0.0
Ahmed Nagar,2025-12,9,0.2857142857142858
Ahmedabad,2025-01,3453,
Ahmedabad,2025-02,972,-0.7185056472632494
Ahmedabad,2025-03,580,-0.4032921810699589
Ahmedabad,2025-04,394,-0.32068965517241377
Ahmedabad,2025-05,374,-0.050761421319796995
Ahmedabad,2025-06,489,0.3074866310160427
Ahmedabad,2025-07,231,-0.5276073619631902
Ahmedabad,2025-08,891,2.857142857142857
Ahmedabad,2025-09,828,-0.07070707070707072
Ahmedabad,2025-10,767,-0.07367149758454106
Ahmedabad,2025-11,791,0.0312907431551499
Ahmedabad,2025-12,787,-0.005056890012642201
Ahmednagar,2025-01,497,
Aizawl,2025-01,27,
Aizawl,2025-02,59,1.1851851851851851
Aizawl,2025-03,32,-0.4576271186440678
Aizawl,2025-04,23,-0.28125
Aizawl,2025-05,43,0.8695652173913044
Aizawl,2025-06,30,-0.3023255813953488
Aizawl,2025-07,12,-0.6
Aizawl,2025-08,35,1.9166666666666665
Aizawl,2025-09,63,0.8
Aizawl,2025-10,51,-0.19047619047619047
Aizawl,2025-11,22,-0.5686274509803921
Aizawl,2025-12,43,0.9545454545454546
Ajmer,2025-01,3139,
Ajmer,2025-02,522,-0.833705001592864
Ajmer,2025-03,319,-0.38888888888888884
Ajmer,2025-04,174,-0.4545454545454546
Ajmer,2025-05,312,0.7931034482758621
Ajmer,2025-06,310,-0.0064102564102563875
Ajmer,2025-07,205,-0.33870967741935487
Ajmer,2025-08,409,0.9951219512195122
Ajmer,2025-09,481,0.1760391198044009
Ajmer,2025-10,633,0.316008316008316
Ajmer,2025-11,412,-0.34913112164297
Ajmer,2025-12,529,0.28398058252427183
Akola,2025-01,938,
